반,성명,통학_권역,1학년_평균등급,3학년_평균등급,등급_변화,G1_미인정결과,G1_미인정결석,G1_미인정조퇴,G1_미인정지각,G1_질병결과,G1_질병결석,G1_질병조퇴,G1_질병지각,G2_미인정결과,G2_미인정결석,G2_미인정조퇴,G2_미인정지각,G2_질병결과,G2_질병결석,G2_질병조퇴,G2_질병지각,G3_미인정결과,G3_미인정결석,G3_미인정조퇴,G3_미인정지각,G3_질병결과,G3_질병결석,G3_질병조퇴,G3_질병지각
1,A,Zone A (농어촌/근거리),3.0,4.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,B,Zone A (농어촌/근거리),4.0,4.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,C,Zone A (농어촌/근거리),3.0,2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,5,1,2
1,D,Zone A (농어촌/근거리),4.0,4.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,E,Zone A (농어촌/근거리),2.0,2.0,,0,0,0,0,0,4,5,0,0,0,0,0,0,6,1,1,0,1,0,0,0,10,2,0
1,F,Zone A (농어촌/근거리),5.0,6.0,,0,0,0,0,0,2,2,4,0,0,0,0,0,1,2,0,0,8,0,2,0,9,4,0
1,G,Zone A (농어촌/근거리),4.5,4.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,H,Zone A (농어촌/근거리),4.5,6.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,I,Zone A (농어촌/근거리),3.5,4.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,J,Zone A (농어촌/근거리),1.5,1.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,K,Zone A (농어촌/근거리),3.0,1.0,,0,0,0,0,0,4,4,4,0,0,0,0,0,4,4,1,0,1,0,0,0,6,0,1
1,L,Zone A (농어촌/근거리),4.5,6.0,,0,0,0,0,0,0,3,1,0,0,0,0,0,1,2,4,0,9,0,4,0,17,2,7
1,M,Zone A (농어촌/근거리),4.0,4.0,,0,0,0,0,0,2,3,4,0,0,0,0,1,1,1,7,0,17,0,1,0,5,1,4
1,N,Zone A (농어촌/근거리),4.0,3.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,O,Zone A (농어촌/근거리),6.5,8.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,P,Zone B (시내/중거리),4.5,5.0,,0,29,5,28,0,17,4,6,0,36,0,34,0,24,2,3,0,55,2,72,0,7,1,0
